tile_id,split
arid_0311,train
arid_0312,train
arid_0313,train
arid_0314,train
arid_0315,val
arid_0316,train
arid_0317,train
arid_0318,train
arid_0319,train
arid_0320,train
arid_0321,train
arid_0322,train
arid_0323,train
arid_0324,train
arid_0325,train
arid_0326,train
arid_0327,val
arid_0328,train
arid_0329,train
arid_0330,train
arid_0331,val
arid_0332,val
arid_0333,test
arid_0334,train
arid_0335,train
arid_0336,train
arid_0337,test
arid_0338,train
arid_0339,train
arid_0340,train
arid_0341,train
arid_0342,test
arid_0343,train
arid_0344,train
arid_0345,train
arid_0346,train
arid_0347,val
arid_0348,train
arid_0349,test
arid_0350,test
arid_0351,train
arid_0352,train
arid_0353,val
arid_0354,test
arid_0355,test
arid_0356,train
arid_0357,train
arid_0358,train
arid_0359,train
arid_0360,train
arid_0361,train
arid_0362,val
arid_0363,train
arid_0364,train
arid_0365,val
arid_0366,val
arid_0367,train
arid_0368,train
arid_0369,val
arid_0370,train
arid_0371,test
arid_0372,val
arid_0373,train
arid_0374,train
arid_0375,test
arid_0376,train
arid_0377,train
arid_0378,train
arid_0379,train
arid_0380,train
arid_0381,train
arid_0382,train
arid_0383,train
arid_0384,train
arid_0385,train
arid_0386,train
arid_0387,train
arid_0388,test
arid_0389,train
arid_0390,test
arid_0391,train
arid_0392,test
arid_0393,train
arid_0394,train
arid_0395,train
arid_0396,train
arid_0397,train
arid_0398,train
arid_0399,val
arid_0400,train
arid_0401,train
arid_0402,train
arid_0403,train
arid_0404,train
arid_0405,val
arid_0406,train
arid_0407,train
arid_0408,train
arid_0409,train
arid_0410,train
arid_0411,train
arid_0412,train
arid_0413,val
arid_0414,train
arid_0415,train
arid_0416,train
arid_0417,train
arid_0418,train
arid_0419,train
arid_0420,train
arid_0421,train
arid_0422,test
arid_0423,train
arid_0424,train
arid_0425,train
arid_0426,train
arid_0427,train
arid_0428,test
arid_0429,train
arid_0430,train
arid_0431,train
arid_0432,train
arid_0433,train
arid_0434,train
arid_0435,train
arid_0436,train
arid_0437,train
arid_0438,train
arid_0439,train
arid_0440,val
arid_0441,train
arid_0442,train
arid_0443,train
arid_0444,train
arid_0445,train
arid_0446,train
arid_0447,train
arid_0448,train
arid_0449,train
arid_0450,train
arid_0451,train
arid_0452,train
arid_0453,test
arid_0454,train
arid_0455,train
arid_0456,train
arid_0457,train
arid_0458,train
arid_0459,train
arid_0460,test
arid_0461,train
arid_0462,train
arid_0463,train
arid_0464,train
arid_0465,train
arid_0466,train
arid_0467,train
arid_0468,train
arid_0469,val
arid_0470,train
arid_0471,train
arid_0472,train
arid_0473,train
arid_0474,val
arid_0475,val
arid_0476,train
arid_0477,test
arid_0478,train
arid_0479,train
arid_0480,train
arid_0481,train
arid_0482,train
arid_0483,train
arid_0484,train
arid_0485,train
arid_0486,val
arid_0487,val
arid_0488,train
arid_0489,test
arid_0490,train
arid_0491,train
arid_0492,train
arid_0493,train
arid_0494,train
arid_0495,train
arid_0496,val
arid_0497,train
arid_0498,train
arid_0499,test
arid_0500,train
arid_0501,train
arid_0502,train
arid_0503,test
arid_0504,train
arid_0505,train
arid_0506,train
arid_0507,train
arid_0508,train
arid_0509,train
arid_0510,train
arid_0511,train
arid_0512,train
arid_0513,train
arid_0514,train
arid_0515,train
arid_0516,train
arid_0517,train
arid_0518,val
arid_0519,train
arid_0520,train
arid_0521,train
arid_0522,val
arid_0523,train
arid_0524,test
arid_0525,train
arid_0526,train
arid_0527,train
arid_0528,test
arid_0529,train
arid_0530,train
arid_0531,train
arid_0532,train
arid_0533,train
arid_0534,train
arid_0535,train
arid_0536,train
arid_0537,train
arid_0538,train
arid_0539,train
arid_0540,test
arid_0541,train
arid_0542,train
arid_0543,train
arid_0544,train
arid_0545,train
arid_0546,val
arid_0547,train
arid_0548,train
arid_0549,train
arid_0550,train
arid_0551,train
arid_0552,train
arid_0553,train
arid_0554,train
arid_0555,train
arid_0556,train
arid_0557,train
arid_0558,test
arid_0559,train
arid_0560,train
arid_0561,val
arid_0562,train
arid_0563,test
arid_0564,train
arid_0565,train
arid_0566,train
arid_0567,train
arid_0568,train
arid_0569,train
arid_0570,train
arid_0571,train
arid_0572,train
arid_0573,train
arid_0574,train
arid_0575,train
arid_0576,train
arid_0577,train
arid_0578,train
arid_0579,val
arid_0580,train
arid_0581,test
arid_0582,val
arid_0583,train
arid_0584,val
arid_0585,train
arid_0586,train
arid_0587,train
arid_0588,val
arid_0589,train
arid_0590,test
arid_0591,train
arid_0592,train
arid_0593,train
arid_0594,train
arid_0595,train
arid_0596,train
arid_0597,train
arid_0598,train
arid_0599,val
arid_0600,train
arid_0601,val
arid_0602,train
arid_0603,val
arid_0604,train
arid_0605,test
arid_0606,train
arid_0607,train
arid_0608,train
arid_0609,train
arid_0610,train
arid_0611,train
arid_0612,train
arid_0613,train
arid_0614,test
arid_0615,train
arid_0616,test
arid_0617,train
arid_0618,test
arid_0619,val
arid_0620,train
arid_0621,train
arid_0622,train
arid_0623,train
arid_0624,train
arid_0625,train
arid_0626,train
arid_0627,train
arid_0628,test
arid_0629,train
arid_0630,train
arid_0631,train
arid_0632,train
arid_0633,train
arid_0634,train
arid_0635,test
arid_0636,train
arid_0637,train
arid_0638,train
arid_0639,train
arid_0640,val
arid_0641,val
arid_0642,train
arid_0643,train
arid_0644,test
arid_0645,train
arid_0646,val
arid_0647,train
arid_0648,train
arid_0649,train
arid_0650,train
arid_0651,train
arid_0652,train
arid_0653,train
arid_0654,train
arid_0655,train
arid_0656,train
arid_0657,train
arid_0658,train
arid_0659,train
arid_0660,train
arid_0661,train
arid_0662,val
arid_0663,train
arid_0664,train
arid_0665,val
arid_0666,train
arid_0667,train
arid_0668,test
arid_0669,train
arid_0670,train
arid_0671,train
arid_0672,train
arid_0673,train
arid_0674,train
arid_0675,train
arid_0676,test
arid_0677,train
arid_0678,train
arid_0679,test
arid_0680,val
arid_0681,test
arid_0682,train
arid_0683,val
arid_0684,test
arid_0685,train
arid_0686,train
arid_0687,train
arid_0688,test
arid_0689,train
arid_0690,train
arid_0691,train
arid_0692,train
arid_0693,val
arid_0694,train
arid_0695,train
arid_0696,train
arid_0697,train
arid_0698,val
arid_0699,train
arid_0700,train
arid_0701,test
arid_0702,train
arid_0703,train
arid_0704,test
arid_0705,train
arid_0706,train
arid_0707,train
arid_0708,test
arid_0709,train
arid_0710,train
arid_0711,train
arid_0712,train
arid_0713,test
arid_0714,train
arid_0715,train
arid_0716,train
arid_0717,train
arid_0718,val
arid_0719,train
arid_0720,train
arid_0721,train
arid_0722,train
arid_0723,train
arid_0724,val
arid_0725,train
arid_0726,train
arid_0727,train
arid_0728,val
arid_0729,train
arid_0730,train
arid_0731,train
arid_0732,train
arid_0733,train
arid_0734,test
arid_0735,val
arid_0736,train
arid_0737,train
arid_0738,train
arid_0739,train
arid_0740,train
arid_0741,train
arid_0742,train
arid_0743,train
arid_0744,test
arid_0745,train
arid_0746,train
arid_0747,test
arid_0748,val
arid_0749,train
arid_0750,train
arid_0751,val
arid_0752,test
arid_0753,train
arid_0754,train
arid_0755,train
arid_0756,train
arid_0757,test
arid_0758,val
arid_0759,test
arid_0760,train
arid_0761,train
arid_0762,train
arid_0763,train
arid_0764,train
arid_0765,val
arid_0766,train
arid_0767,train
arid_0768,train
arid_0769,train
arid_0770,train
arid_0771,test
arid_0772,train
arid_0773,train
arid_0774,train
arid_0775,train
arid_0776,test
arid_0777,train
arid_0778,train
arid_0779,train
arid_0780,val
arid_0781,test
arid_0782,train
arid_0783,train
arid_0784,train
arid_0785,test
arid_0786,train
arid_0787,train
arid_0788,train
arid_0789,train
arid_0790,train
arid_0791,test
arid_0792,train
arid_0793,train
arid_0794,train
arid_0795,train
arid_0796,val
arid_0797,train
arid_0798,train
arid_0799,train
arid_0800,train
arid_0801,train
arid_0802,train
arid_0803,val
arid_0804,train
arid_0805,train
arid_0806,train
arid_0807,train
arid_0808,train
arid_0809,train
arid_0810,train
arid_0811,val
arid_0812,train
arid_0813,train
arid_0814,train
arid_0815,train
arid_0816,train
arid_0817,train
arid_0818,train
arid_0819,train
arid_0820,test
arid_0821,train
arid_0822,train
arid_0823,train
arid_0824,train
arid_0825,train
arid_0826,train
arid_0827,train
arid_0828,train
arid_0829,train
arid_0830,train
arid_0831,train
arid_0832,train
arid_0833,train
arid_0834,val
arid_0835,train
arid_0836,train
arid_0837,val
arid_0838,train
arid_0839,train
arid_0840,train
arid_0841,train
arid_0842,train
arid_0843,train
arid_0844,train
arid_0845,train
arid_0846,train
arid_0847,train
arid_0848,train
arid_0849,test
arid_0850,val
arid_0851,train
arid_0852,train
arid_0853,train
arid_0854,train
arid_0855,train
arid_0856,train
arid_0857,train
arid_0858,train
arid_0859,test
arid_0860,train
arid_0861,train
arid_0862,train
arid_0863,train
arid_0864,train
arid_0865,test
arid_0866,train
arid_0867,train
arid_0868,train
arid_0869,train
arid_0870,train
arid_0871,train
arid_0872,train
arid_0873,train
arid_0874,train
arid_0875,train
arid_0876,train
arid_0877,train
arid_0878,val
arid_0879,train
arid_0880,train
arid_0881,train
arid_0882,train
arid_0883,train
arid_0884,test
arid_0885,val
arid_0886,train
arid_0887,val
arid_0888,train
arid_0889,test
arid_0890,val
arid_0891,train
arid_0892,test
arid_0893,train
arid_0894,train
arid_0895,train
arid_0896,train
arid_0897,train
arid_0898,test
arid_0899,train
arid_0900,train
arid_0901,val
arid_0902,train
arid_0903,val
arid_0904,train
arid_0905,train
arid_0906,train
arid_0907,train
arid_0908,train
arid_0909,train
arid_0910,val
arid_0911,train
arid_0912,train
arid_0913,test
arid_0914,train
arid_0915,train
arid_0916,train
arid_0917,train
arid_0918,train
arid_0919,train
arid_0920,test
arid_0921,train
arid_0922,train
arid_0923,train
arid_0924,train
arid_0925,train
arid_0926,train
arid_0927,train
arid_0928,train
arid_0929,train
arid_0930,val
arid_0931,test
arid_0932,val
arid_0933,train
arid_0934,train
arid_0935,val
arid_0936,train
arid_0937,train
arid_0938,train
arid_0939,train
arid_0940,val
arid_0941,train
arid_0942,train
arid_0943,train
arid_0944,train
arid_0945,train
arid_0946,train
arid_0947,train
arid_0948,train
arid_0949,test
arid_0950,val
arid_0951,train
arid_0952,train
arid_0953,train
arid_0954,train
arid_0955,train
arid_0956,train
arid_0957,train
arid_0958,train
arid_0959,train
arid_0960,train
arid_0961,train
arid_0962,train
arid_0963,train
arid_0964,train
arid_0965,train
arid_0966,train
arid_0967,train
arid_0968,train
arid_0969,val
arid_0970,train
arid_0971,val
arid_0972,train
arid_0973,test
arid_0974,train
arid_0975,test
arid_0976,train
arid_0977,train
arid_0978,train
arid_0979,train
arid_0980,train
arid_0981,train
arid_0982,train
arid_0983,train
arid_0984,val
arid_0985,train
arid_0986,train
arid_0987,train
arid_0988,test
arid_0989,test
arid_0990,train
arid_0991,train
arid_0992,train
arid_0993,train
arid_0994,train
arid_0995,train
arid_0996,train
arid_0997,train
arid_0998,train
arid_0999,train
arid_1000,train
arid_1001,train
arid_1002,test
arid_1003,train
arid_1004,train
arid_1005,train
arid_1006,train
arid_1007,train
arid_1008,train
arid_1009,train
arid_1010,train
arid_1011,val
arid_1012,train
arid_1013,train
arid_1014,train
arid_1015,train
arid_1016,train
arid_1017,train
arid_1018,test
arid_1019,test
arid_1020,train
arid_1021,test
arid_1022,train
arid_1023,train
arid_1024,train
arid_1025,train
arid_1026,train
arid_1027,train
arid_1028,train
arid_1029,train
arid_1030,train
arid_1031,train
arid_1032,train
arid_1033,val
arid_1034,train
arid_1035,train
arid_1036,train
arid_1037,test
arid_1038,test
arid_1039,train
arid_1040,train
arid_1041,train
arid_1042,train
arid_1043,train
arid_1044,train
arid_1045,train
arid_1046,train
arid_1047,train
arid_1048,test
arid_1049,train
arid_1050,train
arid_1051,train
arid_1052,train
arid_1053,train
arid_1054,train
arid_1055,train
arid_1056,train
arid_1057,test
arid_1058,train
arid_1059,train
arid_1060,test
arid_1061,train
arid_1062,train
arid_1063,train
arid_1064,train
arid_1065,test
arid_1066,train
arid_1067,train
arid_1068,train
arid_1069,train
arid_1070,train
arid_1071,val
arid_1072,val
arid_1073,val
arid_1074,train
arid_1075,train
arid_1076,train
arid_1077,train
arid_1078,train
arid_1079,train
arid_1080,train
arid_1081,test
arid_1082,train
arid_1083,train
arid_1084,train
arid_1085,train
arid_1086,train
arid_1087,train
arid_1088,train
arid_1089,train
arid_1090,train
arid_1091,train
arid_1092,train
arid_1093,test
arid_1094,train
arid_1095,train
arid_1096,train
arid_1097,train
arid_1098,train
arid_1099,train
arid_1100,test
arid_1101,train
arid_1102,train
arid_1103,train
arid_1104,train
arid_1105,train
arid_1106,train
arid_1107,train
arid_1108,train
arid_1109,train
arid_1110,train
arid_1111,train
arid_1112,train
arid_1113,val
arid_1114,val
arid_1115,val
arid_1116,test
arid_1117,train
arid_1118,train
arid_1119,train
arid_1120,train
arid_1121,test
arid_1122,train
arid_1123,test
arid_1124,train
arid_1125,train
arid_1126,train
arid_1127,train
arid_1128,train
arid_1129,test
arid_1130,train
arid_1131,test
arid_1132,train
arid_1133,train
arid_1134,train
arid_1135,train
arid_1136,train
arid_1137,train
arid_1138,train
arid_1139,train
arid_1140,train
arid_1141,train
arid_1142,train
arid_1143,val
arid_1144,train
arid_1145,test
arid_1146,train
arid_1147,train
arid_1148,train
arid_1149,test
arid_1150,train
arid_1151,train
arid_1152,train
arid_1153,train
arid_1154,train
arid_1155,train
arid_1156,train
arid_1157,train
arid_1158,train
arid_1159,train
arid_1160,train
arid_1161,train
arid_1162,train
arid_1163,train
arid_1164,train
arid_1165,test
arid_1166,train
arid_1167,train
arid_1168,train
arid_1169,train
arid_1170,train
arid_1171,train
arid_1172,train
arid_1173,train
arid_1174,train
arid_1175,train
arid_1176,train
arid_1177,train
arid_1178,val
arid_1179,train
arid_1180,val
arid_1181,val
arid_1182,train
arid_1183,train
arid_1184,train
arid_1185,train
arid_1186,train
arid_1187,val
arid_1188,test
arid_1189,train
arid_1190,train
arid_1191,train
arid_1192,train
arid_1193,train
arid_1194,val
arid_1195,train
arid_1196,train
arid_1197,train
arid_1198,train
arid_1199,train
arid_1200,train
arid_1201,train
arid_1202,val
arid_1203,test
arid_1204,train
arid_1205,train
arid_1206,train
arid_1207,train
arid_1208,train
arid_1209,train
arid_1210,train
arid_1211,train
arid_1212,train
arid_1213,train
arid_1214,train
arid_1215,train
arid_1216,train
arid_1217,train
arid_1218,train
arid_1219,train
arid_1220,train
arid_1221,train
arid_1222,train
arid_1223,train
arid_1224,train
arid_1225,train
arid_1226,train
arid_1227,train
arid_1228,val
arid_1229,val
arid_1230,train
arid_1231,train
arid_1232,train
arid_1233,test
arid_1234,train
arid_1235,train
arid_1236,train
arid_1237,train
arid_1238,train
arid_1239,train
arid_1240,train
arid_1241,train
arid_1242,train
arid_1243,test
arid_1244,train
arid_1245,val
arid_1246,train
arid_1247,train
arid_1248,val
arid_1249,train
arid_1250,train
arid_1251,train
arid_1252,train
arid_1253,train
arid_1254,train
arid_1255,train
arid_1256,test
arid_1257,train
arid_1258,train
arid_1259,train
arid_1260,train
arid_1261,train
arid_1262,train
arid_1263,train
arid_1264,train
arid_1265,train
arid_1266,train
arid_1267,train
arid_1268,val
arid_1269,train
arid_1270,train
arid_1271,train
arid_1272,train
arid_1273,train
arid_1274,train
arid_1275,train
arid_1276,train
arid_1277,train
arid_1278,train
arid_1279,train
arid_1280,train
arid_1281,train
arid_1282,val
arid_1283,test
arid_1284,train
arid_1285,train
arid_1286,train
arid_1287,train
arid_1288,test
arid_1289,train
arid_1290,train
arid_1291,train
arid_1292,train
arid_1293,train
arid_1294,test
arid_1295,train
arid_1296,train
arid_1297,train
arid_1298,train
arid_1299,train
arid_1300,test
arid_1301,test
arid_1302,train
arid_1303,train
arid_1304,train
arid_1305,train
arid_1306,train
arid_1307,train
arid_1308,train
arid_1309,train
arid_1310,train
arid_1311,test
arid_1312,test
arid_1313,train
arid_1314,train
arid_1315,train
arid_1316,train
arid_1317,train
arid_1318,train
arid_1319,train
arid_1320,train
arid_1321,test
arid_1322,train
arid_1323,train
arid_1324,train
arid_1325,train
arid_1326,train
arid_1327,val
arid_1328,train
arid_1329,train
arid_1330,test
arid_1331,train
arid_1332,train
arid_1333,train
arid_1334,train
arid_1335,val
arid_1336,train
arid_1337,train
arid_1338,train
arid_1339,train
arid_1340,train
arid_1341,train
arid_1342,train
arid_1343,test
arid_1344,val
arid_1345,train
arid_1346,train
arid_1347,train
arid_1348,train
arid_1349,train
arid_1350,train
arid_1351,test
arid_1352,train
arid_1353,test
arid_1354,val
arid_1355,test
arid_1356,train
arid_1357,train
arid_1358,train
arid_1359,train
arid_1360,train
arid_1361,train
arid_1362,train
arid_1363,train
arid_1364,test
arid_1365,train
arid_1366,test
arid_1367,val
arid_1368,train
arid_1369,val
arid_1370,train
arid_1371,val
arid_1372,val
arid_1373,train
arid_1374,train
arid_1375,val
arid_1376,train
arid_1377,train
arid_1378,train
arid_1379,train
arid_1380,train
arid_1381,train
arid_1382,train
arid_1383,train
arid_1384,train
arid_1385,train
arid_1386,train
arid_1387,train
arid_1388,train
arid_1389,train
arid_1390,train
arid_1391,train
arid_1392,train
arid_1393,train
arid_1394,train
arid_1395,train
arid_1396,train
arid_1397,train
arid_1398,test
arid_1399,train
arid_1400,train
arid_1401,train
arid_1402,train
arid_1403,train
arid_1404,train
arid_1405,train
arid_1406,val
arid_1407,train
arid_1408,train
arid_1409,train
arid_1410,train
arid_1411,train
arid_1412,train
arid_1413,train
arid_1414,test
arid_1415,train
arid_1416,train
arid_1417,train
arid_1418,train
arid_1419,test
arid_1420,val
arid_1421,test
arid_1422,train
arid_1423,train
arid_1424,train
arid_1425,train
arid_1426,train
arid_1427,train
arid_1428,train
arid_1429,test
arid_1430,train
arid_1431,train
arid_1432,train
arid_1433,train
arid_1434,test
arid_1435,test
arid_1436,train
arid_1437,train
arid_1438,train
arid_1439,train
arid_1440,train
arid_1441,test
arid_1442,train
arid_1443,val
arid_1444,train
arid_1445,train
arid_1446,train
arid_1447,train
arid_1448,train
arid_1449,train
arid_1450,train
arid_1451,test
arid_1452,train
arid_1453,train
arid_1454,train
arid_1455,val
arid_1456,train
arid_1457,train
arid_1458,train
arid_1459,train
arid_1460,train
arid_1461,train
arid_1462,val
arid_1463,train
arid_1464,val
arid_1465,train
arid_1466,train
arid_1467,train
arid_1468,train
arid_1469,train
arid_1470,train
arid_1471,train
arid_1472,train
arid_1473,val
arid_1474,train
arid_1475,test
arid_1476,train
arid_1477,train
arid_1478,train
arid_1479,train
arid_1480,val
arid_1481,test
arid_1482,test
arid_1483,train
arid_1484,train
arid_1485,test
arid_1486,train
arid_1487,train
arid_1488,train
arid_1489,val
arid_1490,train
arid_1491,train
arid_1492,train
arid_1493,train
arid_1494,train
arid_1495,train
arid_1496,train
arid_1497,test
arid_1498,train
arid_1499,train
arid_1500,train
arid_1501,val
arid_1502,train
arid_1503,train
arid_1504,train
arid_1505,train
arid_1506,val
arid_1507,train
arid_1508,train
arid_1509,train
arid_1510,train
arid_1511,train
arid_1512,train
arid_1513,train
arid_1514,val
arid_1515,train
arid_1516,train
arid_1517,train
arid_1518,train
arid_1519,val
arid_1520,train
arid_1521,train
arid_1522,train
arid_1523,test
arid_1524,train
arid_1525,train
arid_1526,train
arid_1527,train
arid_1528,test
arid_1529,train
arid_1530,train
arid_1531,train
arid_1532,train
arid_1533,val
arid_1534,train
arid_1535,train
arid_1536,train
arid_1537,train
arid_1538,val
arid_1539,train
arid_1540,train
arid_1541,train
arid_1542,train
arid_1543,train
arid_1544,train
arid_1545,val
arid_1546,val
arid_1547,val
arid_1548,train
arid_1549,train
arid_1550,train
arid_1551,train
arid_1552,train
arid_1553,train
arid_1554,train
arid_1555,train
arid_1556,val
arid_1557,val
arid_1558,val
arid_1559,train
arid_1560,train
arid_1561,train
arid_1562,val
arid_1563,test
arid_1564,val
arid_1565,train
arid_1566,train
arid_1567,train
arid_1568,train
arid_1569,train
arid_1570,train
arid_1571,train
arid_1572,val
arid_1573,test
arid_1574,train
arid_1575,train
arid_1576,train
arid_1577,train
arid_1578,train
arid_1579,train
arid_1580,train
arid_1581,train
arid_1582,train
arid_1583,train
arid_1584,train
arid_1585,train
arid_1586,train
arid_1587,train
arid_1588,train
arid_1589,train
arid_1590,train
arid_1591,train
arid_1592,train
arid_1593,train
arid_1594,train
arid_1595,train
arid_1596,train
arid_1597,train
arid_1598,train
arid_1599,test
arid_1600,val
arid_1601,train
arid_1602,train
arid_1603,train
arid_1604,test
arid_1605,train
arid_1606,train
arid_1607,train
arid_1608,val
arid_1609,train
arid_1610,val
arid_1611,val
arid_1612,train
arid_1613,val
arid_1614,train
arid_1615,train
arid_1616,train
arid_1617,train
arid_1618,test
arid_1619,train
arid_1620,train
arid_1621,train
arid_1622,train
arid_1623,train
arid_1624,val
arid_1625,train
arid_1626,test
arid_1627,test
arid_1628,train
arid_1629,train
arid_1630,train
arid_1631,val
arid_1632,train
arid_1633,train
arid_1634,train
arid_1635,train
arid_1636,train
arid_1637,train
arid_1638,train
arid_1639,train
arid_1640,train
arid_1641,train
arid_1642,train
arid_1643,train
arid_1644,test
arid_1645,val
arid_1646,test
arid_1647,val
arid_1648,train
arid_1649,test
arid_1650,train
arid_1651,train
arid_1652,train
arid_1653,train
arid_1654,train
arid_1655,train
arid_1656,train
arid_1657,val
arid_1658,test
arid_1659,train
arid_1660,train
arid_1661,train
arid_1662,train
arid_1663,train
arid_1664,train
arid_1665,train
arid_1666,train
arid_1667,test
arid_1668,train
arid_1669,train
arid_1670,test
arid_1671,train
arid_1672,train
arid_1673,test
arid_1674,train
arid_1675,train
arid_1676,train
arid_1677,test
arid_1678,val
arid_1679,train
arid_1680,train
arid_1681,train
arid_1682,train
arid_1683,train
arid_1684,train
arid_1685,train
arid_1686,train
arid_1687,train
arid_1688,train
arid_1689,test
arid_1690,train
arid_1691,train
arid_1692,train
arid_1693,val
arid_1694,train
arid_1695,train
arid_1696,train
arid_1697,train
arid_1698,train
arid_1699,train
arid_1700,train
arid_1701,train
arid_1702,test
arid_1703,test
arid_1704,train
arid_1705,train
arid_1706,train
arid_1707,val
arid_1708,train
arid_1709,train
arid_1710,test
arid_1711,train
arid_1712,train
arid_1713,test
arid_1714,test
arid_1715,train
arid_1716,train
arid_1717,train
arid_1718,train
arid_1719,test
arid_1720,train
arid_1721,train
arid_1722,train
arid_1723,test
arid_1724,test
arid_1725,train
arid_1726,train
arid_1727,test
arid_1728,train
arid_1729,train
arid_1730,train
arid_1731,train
arid_1732,train
arid_1733,train
arid_1734,train
arid_1735,train
arid_1736,train
arid_1737,test
arid_1738,val
arid_1739,test
arid_1740,train
arid_1741,train
arid_1742,test
arid_1743,test
arid_1744,val
arid_1745,test
arid_1746,train
arid_1747,test
arid_1748,train
